['01-0001_mask.png', '186', '73', '232', '37']

['08-0436_mask.png', '233', '183', '294', '89']

['08-0437_mask.png', '234', '186', '295', '91']

['08-0438_mask.png', '233', '190', '295', '91']

['08-0439_mask.png', '233', '191', '296', '91']

['08-0440_mask.png', '235', '194', '298', '87']

['08-0441_mask.png', '236', '198', '297', '88']

['08-0442_mask.png', '237', '200', '298', '90']

['08-0443_mask.png', '240', '200', '298', '87']

['08-0444_mask.png', '241', '207', '299', '90']

['08-0445_mask.png', '242', '210', '300', '93']

['08-0446_mask.png', '245', '214', '301', '94']

['08-0447_mask.png', '245', '214', '301', '94']

['08-0448_mask.png', '247', '220', '301', '94']

['08-0449_mask.png', '246', '225', '300', '100']

['09-0001_mask.png', '109', '152', '183', '100']

['09-0002_mask.png', '99', '169', '176', '100']

['09-0003_mask.png', '96', '185', '177', '112']

['09-0004_mask.png', '93', '195', '174', '123']

['09-0005_mask.png', '92', '204', '178', '128']

['09-0006_mask.png', '89', '208', '174', '132']

['09-0007_mask.png', '89', '204', '174', '134']

['09-0008_mask.png', '85', '208', '170', '138']

['09-0009_mask.png', '86', '210', '171', '140']

['09-0010_mask.png', '86', '212', '171', '142']

['09-0011_mask.png', '83', '213', '168', '143']

['09-0012_mask.png', '83', '213', '168', '143']

['09-0013_mask.png', '83', '213', '168', '143']

['09-0014_mask.png', '83', '216', '168', '146']

['09-0015_mask.png', '83', '216', '169', '147']

['09-0016_mask.png', '83', '216', '168', '150']

['09-0017_mask.png', '83', '216', '168', '150']

['09-0018_mask.png', '90', '213', '168', '150']

['09-0019_mask.png', '92', '211', '168', '150']

['09-0020_mask.png', '92', '211', '168', '150']

['09-0021_mask.png', '95', '210', '172', '149']

['09-0022_mask.png', '97', '208', '173', '147']

['09-0023_mask.png', '97', '208', '173', '147']

['09-0024_mask.png', '98', '207', '175', '147']

['09-0025_mask.png', '101', '206', '178', '146']

['09-0026_mask.png', '105', '201', '176', '146']

['09-0027_mask.png', '106', '205', '176', '149']

['09-0028_mask.png', '106', '205', '176', '149']

['09-0029_mask.png', '109', '200', '176', '154']

['09-0030_mask.png', '109', '200', '176', '154']

['09-0031_mask.png', '109', '200', '176', '154']

['09-0032_mask.png', '108', '201', '175', '155']

['09-0033_mask.png', '108', '203', '175', '155']

['09-0034_mask.png', '108', '203', '176', '154']

['09-0035_mask.png', '108', '204', '176', '154']

['09-0036_mask.png', '104', '205', '172', '149']

['09-0037_mask.png', '100', '202', '170', '142']

['09-0038_mask.png', '101', '200', '171', '141']

['09-0039_mask.png', '101', '196', '172', '137']

['09-0040_mask.png', '100', '196', '170', '136']

['09-0041_mask.png', '100', '196', '170', '136']

['09-0042_mask.png', '100', '196', '170', '136']

['09-0043_mask.png', '100', '196', '170', '136']

['09-0044_mask.png', '98', '197', '169', '138']

['09-0045_mask.png', '98', '197', '169', '138']

['09-0046_mask.png', '98', '197', '169', '138']

['09-0047_mask.png', '98', '197', '169', '138']

['09-0048_mask.png', '98', '197', '169', '138']

['09-0049_mask.png', '98', '198', '168', '138']

['09-0050_mask.png', '98', '198', '168', '138']

['09-0051_mask.png', '98', '198', '168', '138']

['09-0052_mask.png', '99', '195', '169', '135']

['09-0053_mask.png', '98', '184', '168', '124']

['09-0054_mask.png', '94', '172', '164', '112']

['09-0055_mask.png', '91', '163', '162', '104']

['09-0056_mask.png', '92', '162', '162', '102']

['09-0057_mask.png', '90', '161', '160', '101']

['09-0058_mask.png', '90', '159', '160', '100']

['09-0059_mask.png', '90', '159', '160', '100']

['09-0060_mask.png', '90', '159', '160', '100']

['09-0061_mask.png', '90', '159', '160', '100']

['09-0062_mask.png', '90', '159', '160', '100']

['09-0063_mask.png', '92', '157', '163', '97']

['09-0064_mask.png', '92', '157', '163', '97']

['09-0065_mask.png', '92', '157', '163', '97']

['09-0066_mask.png', '92', '157', '163', '97']

['09-0067_mask.png', '92', '157', '163', '97']

['09-0068_mask.png', '92', '157', '163', '97']

['09-0069_mask.png', '92', '157', '163', '101']

['09-0070_mask.png', '92', '157', '163', '101']

['09-0071_mask.png', '92', '157', '163', '101']

['09-0072_mask.png', '92', '157', '163', '101']

['09-0073_mask.png', '92', '157', '166', '101']

['09-0074_mask.png', '92', '157', '168', '101']

['09-0075_mask.png', '92', '160', '172', '101']

['09-0076_mask.png', '92', '165', '175', '101']

['09-0077_mask.png', '92', '169', '175', '101']

['09-0078_mask.png', '92', '176', '175', '101']

['09-0079_mask.png', '93', '183', '176', '108']

['09-0080_mask.png', '93', '189', '178', '114']

['09-0081_mask.png', '93', '194', '179', '114']

['09-0082_mask.png', '90', '200', '179', '119']

['09-0083_mask.png', '86', '193', '175', '119']

['09-0084_mask.png', '82', '196', '177', '119']

['09-0085_mask.png', '80', '201', '175', '125']

['09-0086_mask.png', '80', '208', '178', '125']

['09-0087_mask.png', '77', '213', '175', '129']

['09-0088_mask.png', '74', '220', '172', '136']

['09-0089_mask.png', '72', '223', '170', '139']

['09-0090_mask.png', '72', '228', '174', '139']

['09-0091_mask.png', '68', '231', '177', '139']

['09-0092_mask.png', '66', '231', '175', '139']

['09-0093_mask.png', '63', '233', '172', '141']

['09-0094_mask.png', '63', '233', '172', '141']

['09-0095_mask.png', '63', '233', '172', '141']

['09-0096_mask.png', '63', '233', '172', '138']

['09-0097_mask.png', '59', '236', '184', '137']

['09-0098_mask.png', '59', '236', '184', '127']

['09-0099_mask.png', '63', '229', '187', '119']

['09-0100_mask.png', '64', '222', '188', '112']

['09-0101_mask.png', '67', '218', '192', '108']

['09-0102_mask.png', '69', '210', '197', '101']

['09-0103_mask.png', '74', '206', '202', '96']

['09-0104_mask.png', '79', '200', '211', '86']

['09-0105_mask.png', '83', '197', '220', '83']

['09-0106_mask.png', '83', '197', '224', '83']

['09-0107_mask.png', '87', '195', '228', '81']

['09-0108_mask.png', '87', '195', '228', '81']

['09-0109_mask.png', '87', '195', '228', '84']

['09-0110_mask.png', '92', '189', '228', '87']

['09-0111_mask.png', '98', '186', '229', '84']

['09-0112_mask.png', '104', '184', '232', '82']

['09-0113_mask.png', '106', '180', '234', '78']

['09-0114_mask.png', '106', '180', '234', '78']

['09-0115_mask.png', '106', '180', '234', '78']

['09-0116_mask.png', '106', '180', '234', '78']

['09-0117_mask.png', '106', '180', '234', '78']

['09-0118_mask.png', '100', '185', '227', '84']

['09-0119_mask.png', '91', '190', '219', '88']

['09-0120_mask.png', '83', '195', '219', '93']

['09-0121_mask.png', '78', '203', '219', '93']

['09-0122_mask.png', '74', '208', '219', '93']

['09-0123_mask.png', '65', '207', '223', '93']

['09-0124_mask.png', '61', '212', '225', '91']

['09-0125_mask.png', '54', '219', '227', '90']

['09-0126_mask.png', '51', '219', '227', '84']

['09-0127_mask.png', '51', '226', '227', '84']

['09-0128_mask.png', '48', '229', '227', '83']

['09-0129_mask.png', '48', '229', '229', '82']

['09-0130_mask.png', '45', '229', '229', '79']

['09-0131_mask.png', '44', '229', '228', '79']

['09-0132_mask.png', '44', '229', '228', '79']

['09-0133_mask.png', '44', '229', '228', '79']

['09-0134_mask.png', '44', '229', '228', '79']

['09-0135_mask.png', '44', '224', '228', '79']

['09-0136_mask.png', '54', '225', '226', '82']

['09-0137_mask.png', '50', '223', '217', '87']

['09-0138_mask.png', '52', '227', '208', '91']

['09-0139_mask.png', '51', '229', '206', '94']

['09-0140_mask.png', '51', '231', '206', '95']

['09-0141_mask.png', '51', '231', '206', '95']

['09-0142_mask.png', '51', '231', '206', '103']

['09-0143_mask.png', '48', '232', '203', '104']

['09-0144_mask.png', '47', '235', '190', '109']

['09-0145_mask.png', '47', '238', '190', '111']

['09-0146_mask.png', '48', '233', '169', '109']

['09-0147_mask.png', '48', '228', '162', '109']

['09-0148_mask.png', '45', '225', '159', '106']

['09-0149_mask.png', '41', '215', '155', '96']

['09-0150_mask.png', '40', '200', '150', '87']

['09-0151_mask.png', '40', '198', '150', '85']

['09-0152_mask.png', '40', '195', '150', '82']

['09-0153_mask.png', '40', '195', '150', '82']

['09-0154_mask.png', '40', '195', '152', '82']

['09-0155_mask.png', '42', '193', '162', '80']

['09-0156_mask.png', '44', '187', '164', '74']

['09-0157_mask.png', '45', '185', '165', '72']

['09-0158_mask.png', '47', '181', '167', '68']

['09-0159_mask.png', '48', '178', '168', '65']

['09-0160_mask.png', '51', '174', '170', '61']

['09-0161_mask.png', '51', '174', '174', '61']

['09-0162_mask.png', '51', '174', '177', '61']

['09-0163_mask.png', '51', '174', '179', '61']

['09-0164_mask.png', '55', '178', '183', '65']

['09-0165_mask.png', '56', '182', '184', '70']

['09-0166_mask.png', '55', '187', '190', '74']

['09-0167_mask.png', '55', '189', '195', '74']

['09-0168_mask.png', '57', '196', '203', '74']

['09-0169_mask.png', '52', '200', '206', '71']

['09-0170_mask.png', '57', '196', '211', '67']

['09-0171_mask.png', '55', '196', '213', '67']

['09-0172_mask.png', '55', '196', '213', '61']

['09-0173_mask.png', '55', '196', '228', '61']

['09-0174_mask.png', '55', '196', '233', '57']

['09-0175_mask.png', '63', '196', '241', '53']

['09-0176_mask.png', '68', '192', '246', '49']

['09-0177_mask.png', '75', '192', '252', '50']

['09-0178_mask.png', '79', '188', '252', '50']

['09-0179_mask.png', '79', '188', '252', '53']

['09-0180_mask.png', '79', '188', '252', '54']

['09-0181_mask.png', '86', '189', '260', '59']

['09-0182_mask.png', '86', '189', '260', '60']

['09-0183_mask.png', '86', '186', '260', '60']

['09-0184_mask.png', '95', '186', '260', '62']

['09-0185_mask.png', '95', '186', '260', '63']

['09-0186_mask.png', '101', '183', '260', '63']

['09-0187_mask.png', '105', '183', '260', '63']

['09-0188_mask.png', '107', '180', '260', '69']

['09-0189_mask.png', '107', '180', '250', '69']

['09-0190_mask.png', '115', '180', '250', '69']

['09-0191_mask.png', '115', '180', '250', '69']

['09-0192_mask.png', '115', '180', '245', '76']

['09-0193_mask.png', '115', '180', '245', '76']

['09-0194_mask.png', '122', '180', '245', '79']

['09-0195_mask.png', '122', '180', '245', '81']

['09-0196_mask.png', '122', '180', '245', '81']

['09-0197_mask.png', '122', '180', '245', '81']

['09-0198_mask.png', '122', '180', '245', '81']

['09-0199_mask.png', '122', '180', '245', '81']

['09-0200_mask.png', '127', '180', '245', '84']

['09-0201_mask.png', '127', '180', '245', '84']

['09-0202_mask.png', '130', '179', '244', '85']

['09-0203_mask.png', '130', '179', '244', '90']

['09-0204_mask.png', '130', '179', '238', '93']

['09-0205_mask.png', '130', '179', '238', '93']

['09-0206_mask.png', '134', '179', '238', '95']

['09-0207_mask.png', '134', '179', '238', '95']

['09-0208_mask.png', '133', '176', '237', '95']

['09-0209_mask.png', '135', '176', '237', '98']

['09-0210_mask.png', '135', '176', '237', '98']

['09-0211_mask.png', '135', '176', '237', '100']

['09-0212_mask.png', '135', '176', '237', '100']

['09-0213_mask.png', '135', '176', '237', '100']

['09-0214_mask.png', '135', '175', '237', '100']

['09-0215_mask.png', '135', '175', '237', '100']

['09-0216_mask.png', '140', '173', '232', '100']

['09-0217_mask.png', '144', '170', '232', '100']

['09-0218_mask.png', '144', '170', '232', '100']

['09-0219_mask.png', '146', '170', '232', '102']

['09-0220_mask.png', '148', '170', '232', '102']

['09-0221_mask.png', '148', '170', '230', '102']

['09-0222_mask.png', '148', '170', '230', '102']

['09-0223_mask.png', '148', '170', '230', '105']

['09-0224_mask.png', '148', '170', '230', '105']

['09-0225_mask.png', '148', '170', '230', '105']

['09-0226_mask.png', '148', '170', '230', '105']

['09-0227_mask.png', '148', '170', '230', '105']

['09-0228_mask.png', '148', '170', '230', '105']

['09-0229_mask.png', '148', '170', '230', '105']

['09-0230_mask.png', '148', '170', '230', '107']

['09-0231_mask.png', '148', '170', '225', '109']

['09-0232_mask.png', '148', '170', '225', '109']

['09-0233_mask.png', '148', '170', '225', '109']

['09-0234_mask.png', '148', '170', '225', '109']

['09-0235_mask.png', '148', '170', '225', '109']

['09-0236_mask.png', '148', '170', '225', '109']

['09-0237_mask.png', '151', '170', '225', '109']

['09-0238_mask.png', '151', '170', '225', '109']

['09-0239_mask.png', '151', '170', '225', '109']

['09-0240_mask.png', '151', '166', '225', '112']

['09-0241_mask.png', '155', '166', '222', '112']

['09-0242_mask.png', '155', '166', '222', '112']

['09-0243_mask.png', '155', '166', '220', '112']

['09-0244_mask.png', '155', '166', '220', '115']

['09-0245_mask.png', '155', '164', '220', '115']

['09-0246_mask.png', '155', '164', '218', '115']

['09-0247_mask.png', '153', '162', '216', '114']

['09-0248_mask.png', '152', '153', '215', '104']

['09-0249_mask.png', '146', '141', '209', '92']

['09-0250_mask.png', '144', '130', '207', '81']

['09-0251_mask.png', '142', '130', '205', '78']

['09-0252_mask.png', '140', '127', '203', '75']

['09-0253_mask.png', '140', '126', '203', '74']

['09-0254_mask.png', '140', '121', '200', '78']

['09-0255_mask.png', '140', '121', '200', '78']

['09-0256_mask.png', '140', '121', '200', '75']

['09-0257_mask.png', '140', '121', '200', '75']

['09-0258_mask.png', '140', '121', '200', '75']

['09-0259_mask.png', '140', '121', '200', '75']

['09-0260_mask.png', '140', '121', '200', '75']

['09-0261_mask.png', '140', '116', '198', '75']

['09-0262_mask.png', '140', '116', '196', '75']

['09-0263_mask.png', '140', '116', '196', '75']

['09-0264_mask.png', '140', '116', '196', '75']

['09-0265_mask.png', '140', '116', '196', '75']

['09-0266_mask.png', '140', '116', '196', '75']

['09-0267_mask.png', '140', '116', '196', '75']

['09-0268_mask.png', '138', '114', '193', '73']

['09-0269_mask.png', '138', '114', '193', '73']

['09-0270_mask.png', '138', '114', '193', '73']

['09-0271_mask.png', '138', '114', '193', '73']

['09-0272_mask.png', '137', '115', '194', '73']

['09-0273_mask.png', '137', '113', '194', '71']

['09-0274_mask.png', '138', '112', '195', '69']

['09-0275_mask.png', '138', '111', '195', '69']

['09-0276_mask.png', '138', '111', '198', '69']

['09-0277_mask.png', '138', '111', '199', '67']

['09-0278_mask.png', '138', '112', '199', '71']

['09-0279_mask.png', '138', '118', '199', '71']

['09-0280_mask.png', '140', '129', '205', '77']

['09-0281_mask.png', '140', '132', '205', '80']

['09-0282_mask.png', '140', '137', '214', '80']

['09-0283_mask.png', '140', '137', '214', '80']

['09-0284_mask.png', '140', '139', '217', '80']

['09-0285_mask.png', '137', '145', '217', '80']

['09-0286_mask.png', '137', '145', '217', '80']

['09-0287_mask.png', '135', '148', '217', '80']

['09-0288_mask.png', '132', '150', '217', '80']

['09-0289_mask.png', '132', '155', '217', '85']

['09-0290_mask.png', '129', '159', '214', '89']

['09-0291_mask.png', '128', '163', '215', '93']

['09-0292_mask.png', '124', '166', '210', '96']

['09-0293_mask.png', '121', '168', '212', '96']

['09-0294_mask.png', '120', '171', '210', '99']

['09-0295_mask.png', '117', '176', '211', '104']

['09-0296_mask.png', '114', '178', '208', '106']

['09-0297_mask.png', '114', '181', '209', '109']

['09-0298_mask.png', '115', '183', '210', '111']

['09-0299_mask.png', '115', '183', '210', '111']

['09-0300_mask.png', '115', '183', '210', '111']

['09-0301_mask.png', '115', '183', '210', '111']

['09-0302_mask.png', '115', '183', '210', '111']

['09-0303_mask.png', '115', '183', '210', '111']

['09-0304_mask.png', '115', '183', '206', '111']

['09-0305_mask.png', '115', '183', '202', '114']

['09-0306_mask.png', '113', '185', '199', '116']

['09-0307_mask.png', '111', '186', '198', '117']

['09-0308_mask.png', '109', '188', '198', '117']

['09-0309_mask.png', '109', '188', '198', '117']

['09-0310_mask.png', '107', '190', '200', '115']

['09-0311_mask.png', '104', '192', '200', '115']

['09-0312_mask.png', '104', '192', '203', '115']

['09-0313_mask.png', '102', '193', '203', '112']

['09-0314_mask.png', '102', '193', '206', '110']

['09-0315_mask.png', '100', '193', '209', '106']

['09-0316_mask.png', '100', '193', '211', '106']

['09-0317_mask.png', '100', '193', '211', '106']

['09-0318_mask.png', '100', '193', '215', '102']

['09-0319_mask.png', '100', '193', '218', '99']

['09-0320_mask.png', '100', '193', '222', '99']

['09-0321_mask.png', '100', '193', '226', '96']

['09-0322_mask.png', '100', '196', '229', '94']

['09-0323_mask.png', '100', '196', '229', '94']

['09-0324_mask.png', '100', '196', '231', '94']

['09-0325_mask.png', '97', '196', '231', '91']

['09-0326_mask.png', '97', '196', '231', '91']

['09-0327_mask.png', '97', '197', '231', '91']

['09-0328_mask.png', '89', '197', '231', '89']

['09-0329_mask.png', '86', '197', '231', '89']

['09-0330_mask.png', '82', '203', '231', '89']

['09-0331_mask.png', '82', '203', '231', '89']

['09-0332_mask.png', '77', '203', '231', '89']

['09-0333_mask.png', '72', '205', '231', '88']

['09-0334_mask.png', '67', '208', '226', '86']

['09-0335_mask.png', '64', '215', '223', '87']

['09-0336_mask.png', '56', '226', '222', '87']

['09-0337_mask.png', '52', '237', '218', '88']

['09-0338_mask.png', '47', '238', '213', '81']

['09-0339_mask.png', '37', '246', '203', '88']

['09-0340_mask.png', '31', '245', '197', '87']

['09-0341_mask.png', '17', '251', '170', '106']

['09-0342_mask.png', '33', '262', '194', '116']

['09-0343_mask.png', '33', '262', '203', '112']

['09-0344_mask.png', '33', '262', '203', '101']

['09-0345_mask.png', '31', '257', '201', '88']

['09-0346_mask.png', '31', '274', '208', '72']

['09-0347_mask.png', '33', '277', '209', '69']

['09-0348_mask.png', '40', '280', '201', '64']

['09-0349_mask.png', '40', '280', '204', '55']

['09-0350_mask.png', '40', '280', '204', '45']

['09-0351_mask.png', '40', '280', '204', '40']

['09-0352_mask.png', '40', '284', '212', '26']

['09-0353_mask.png', '37', '286', '211', '12']

['09-0354_mask.png', '37', '288', '208', '14']

['09-0355_mask.png', '37', '288', '189', '15']

['09-0356_mask.png', '37', '288', '181', '15']

['09-0357_mask.png', '25', '288', '178', '42']

['09-0358_mask.png', '25', '288', '175', '49']

['09-0359_mask.png', '25', '288', '175', '55']

['09-0360_mask.png', '21', '288', '159', '62']

['09-0361_mask.png', '21', '288', '161', '73']

['09-0362_mask.png', '21', '288', '159', '81']

['09-0363_mask.png', '21', '288', '159', '81']

['09-0364_mask.png', '21', '288', '159', '81']

['09-0365_mask.png', '21', '288', '159', '83']

['09-0366_mask.png', '21', '288', '155', '86']

['09-0367_mask.png', '21', '288', '155', '88']

['09-0368_mask.png', '21', '288', '155', '97']

['09-0369_mask.png', '21', '288', '150', '98']

['09-0370_mask.png', '21', '288', '147', '109']

['09-0371_mask.png', '21', '288', '146', '117']

['09-0372_mask.png', '21', '288', '139', '130']

['09-0373_mask.png', '20', '286', '139', '145']

['09-0374_mask.png', '20', '286', '139', '154']

['09-0375_mask.png', '20', '286', '139', '162']

['09-0376_mask.png', '20', '286', '139', '162']

['09-0377_mask.png', '20', '286', '131', '171']

['09-0378_mask.png', '19', '288', '122', '188']

['09-0379_mask.png', '19', '288', '109', '191']

['09-0380_mask.png', '34', '267', '91', '207']

['09-0381_mask.png', '34', '267', '91', '207']

['09-0382_mask.png', '34', '267', '91', '207']

['09-0383_mask.png', '34', '267', '91', '207']

['09-0384_mask.png', '34', '267', '91', '207']

['09-0385_mask.png', '34', '267', '91', '207']

['09-0386_mask.png', '34', '267', '91', '207']

['09-0387_mask.png', '34', '267', '91', '207']

['09-0388_mask.png', '34', '267', '91', '207']

['09-0389_mask.png', '34', '267', '91', '207']

['09-0390_mask.png', '34', '267', '91', '207']

['09-0391_mask.png', '34', '267', '91', '207']

['09-0392_mask.png', '34', '267', '91', '207']

['09-0393_mask.png', '34', '267', '91', '207']

['09-0394_mask.png', '34', '267', '91', '207']

['09-0395_mask.png', '34', '267', '91', '207']

['09-0396_mask.png', '34', '267', '91', '207']

['09-0397_mask.png', '34', '267', '91', '207']

['09-0398_mask.png', '34', '267', '91', '207']

['09-0399_mask.png', '34', '267', '91', '207']

['09-0400_mask.png', '52', '243', '68', '173']

['09-0401_mask.png', '52', '243', '73', '165']

['09-0402_mask.png', '55', '257', '83', '159']

['09-0403_mask.png', '55', '257', '85', '156']

['09-0404_mask.png', '53', '270', '101', '157']

['09-0405_mask.png', '52', '267', '106', '140']

['09-0406_mask.png', '52', '267', '115', '133']

['09-0407_mask.png', '52', '267', '125', '127']

['09-0408_mask.png', '52', '267', '136', '122']

['09-0409_mask.png', '52', '267', '149', '113']

['09-0410_mask.png', '42', '272', '153', '111']

['09-0411_mask.png', '42', '272', '170', '111']

['09-0412_mask.png', '37', '234', '171', '99']

['09-0413_mask.png', '37', '231', '174', '95']

['09-0414_mask.png', '37', '227', '174', '95']

['09-0415_mask.png', '37', '221', '174', '95']

['09-0416_mask.png', '42', '221', '177', '100']

['09-0417_mask.png', '42', '221', '180', '99']

['09-0418_mask.png', '42', '221', '180', '99']

['09-0419_mask.png', '42', '217', '180', '99']

['09-0420_mask.png', '42', '217', '180', '99']

['09-0421_mask.png', '42', '212', '180', '99']

['09-0422_mask.png', '56', '212', '181', '97']

['09-0423_mask.png', '56', '212', '186', '93']

['09-0424_mask.png', '61', '207', '191', '92']

['09-0425_mask.png', '61', '207', '192', '92']

['09-0426_mask.png', '61', '200', '192', '92']

['09-0427_mask.png', '66', '199', '195', '91']

['09-0428_mask.png', '75', '199', '195', '91']

['09-0429_mask.png', '75', '195', '195', '91']

['09-0430_mask.png', '81', '195', '195', '91']

['09-0431_mask.png', '85', '191', '195', '91']

['09-0432_mask.png', '88', '190', '199', '90']

['09-0433_mask.png', '91', '186', '202', '86']

['09-0434_mask.png', '94', '184', '204', '83']

['09-0435_mask.png', '94', '184', '204', '83']

['09-0436_mask.png', '94', '184', '204', '83']

['09-0437_mask.png', '98', '184', '204', '83']

['09-0438_mask.png', '98', '184', '204', '83']

['09-0439_mask.png', '104', '184', '204', '83']

['09-0440_mask.png', '104', '182', '205', '82']

['09-0441_mask.png', '107', '181', '208', '83']

['09-0442_mask.png', '109', '177', '208', '83']

['09-0443_mask.png', '113', '177', '208', '83']

['09-0444_mask.png', '113', '175', '208', '90']

['09-0445_mask.png', '117', '175', '208', '90']

['09-0446_mask.png', '117', '175', '208', '90']

['09-0447_mask.png', '120', '175', '208', '90']

['09-0448_mask.png', '120', '175', '208', '90']

['09-0449_mask.png', '120', '173', '208', '90']

['09-0450_mask.png', '123', '173', '208', '90']

['09-0451_mask.png', '123', '173', '208', '90']

['09-0452_mask.png', '126', '173', '208', '90']

['09-0453_mask.png', '129', '173', '208', '98']

['09-0454_mask.png', '129', '171', '208', '98']

['09-0455_mask.png', '132', '169', '206', '99']

['09-0456_mask.png', '133', '169', '204', '106']

['09-0457_mask.png', '136', '166', '204', '109']

['09-0458_mask.png', '139', '166', '204', '111']

['09-0459_mask.png', '139', '166', '204', '111']

['09-0460_mask.png', '143', '166', '204', '111']

['09-0461_mask.png', '143', '166', '204', '115']

['09-0462_mask.png', '143', '166', '202', '115']

['09-0463_mask.png', '145', '164', '199', '117']

['09-0464_mask.png', '145', '164', '199', '117']

['09-0465_mask.png', '145', '164', '196', '117']

['09-0466_mask.png', '145', '164', '196', '119']

['09-0467_mask.png', '145', '164', '194', '119']

['09-0468_mask.png', '145', '164', '193', '119']

['09-0469_mask.png', '145', '164', '192', '119']

['09-0470_mask.png', '145', '164', '192', '119']

['09-0471_mask.png', '145', '164', '192', '119']

['09-0472_mask.png', '142', '159', '193', '114']

['09-0473_mask.png', '139', '149', '192', '104']

['09-0474_mask.png', '140', '144', '194', '98']

['09-0475_mask.png', '139', '140', '192', '94']

['09-0476_mask.png', '137', '137', '191', '92']

['09-0477_mask.png', '138', '134', '188', '88']

['09-0478_mask.png', '138', '134', '185', '88']

['09-0479_mask.png', '138', '134', '185', '88']

['09-0480_mask.png', '138', '131', '185', '88']

['09-0481_mask.png', '138', '131', '185', '88']

['09-0482_mask.png', '138', '131', '185', '88']

['09-0483_mask.png', '138', '131', '185', '88']

['09-0484_mask.png', '137', '128', '184', '86']

['09-0485_mask.png', '139', '128', '181', '86']

['09-0486_mask.png', '139', '128', '181', '86']

['09-0487_mask.png', '142', '126', '184', '84']

['09-0488_mask.png', '141', '125', '183', '83']

['09-0489_mask.png', '141', '125', '183', '83']

['09-0490_mask.png', '141', '125', '183', '83']

['09-0491_mask.png', '141', '120', '183', '83']

['09-0492_mask.png', '141', '120', '183', '83']

['09-0493_mask.png', '144', '120', '183', '83']

['09-0494_mask.png', '144', '118', '183', '81']

['09-0495_mask.png', '144', '118', '183', '81']

['09-0496_mask.png', '144', '116', '183', '79']

['09-0497_mask.png', '144', '115', '183', '78']

['09-0498_mask.png', '144', '115', '183', '78']

['09-0499_mask.png', '144', '113', '184', '76']

['09-0500_mask.png', '146', '112', '185', '75']

['09-0501_mask.png', '145', '111', '184', '73']

['09-0502_mask.png', '145', '111', '184', '73']

['09-0503_mask.png', '145', '111', '184', '73']

['09-0504_mask.png', '147', '109', '186', '72']

['09-0505_mask.png', '147', '109', '186', '72']

['09-0506_mask.png', '147', '108', '186', '71']

['09-0507_mask.png', '147', '108', '186', '71']

['09-0508_mask.png', '149', '105', '189', '68']

['09-0509_mask.png', '149', '102', '189', '65']

['09-0510_mask.png', '149', '102', '189', '65']

['09-0511_mask.png', '151', '101', '191', '64']

['09-0512_mask.png', '151', '101', '191', '64']

['09-0513_mask.png', '151', '101', '191', '64']

['09-0514_mask.png', '151', '101', '191', '64']

['09-0515_mask.png', '154', '104', '193', '67']

['09-0516_mask.png', '153', '111', '193', '73']

['09-0517_mask.png', '153', '115', '193', '77']

['09-0518_mask.png', '157', '124', '198', '84']

['09-0519_mask.png', '156', '126', '197', '86']

['09-0520_mask.png', '155', '135', '202', '89']

['09-0521_mask.png', '154', '139', '202', '94']

['09-0522_mask.png', '154', '143', '205', '97']

['09-0523_mask.png', '154', '150', '207', '97']

['09-0524_mask.png', '154', '155', '207', '102']

['09-0525_mask.png', '155', '157', '208', '105']

['09-0526_mask.png', '154', '159', '207', '106']

['09-0527_mask.png', '152', '160', '205', '107']

['09-0528_mask.png', '149', '162', '209', '107']

['09-0529_mask.png', '149', '162', '209', '107']

['09-0530_mask.png', '149', '164', '209', '110']

['09-0531_mask.png', '150', '166', '209', '112']

['09-0532_mask.png', '149', '167', '209', '113']

['09-0533_mask.png', '149', '167', '209', '113']

['09-0534_mask.png', '149', '170', '211', '113']

['09-0535_mask.png', '149', '170', '213', '113']

['09-0536_mask.png', '149', '170', '214', '111']

['09-0537_mask.png', '149', '170', '214', '111']

['09-0538_mask.png', '149', '170', '216', '111']

['09-0539_mask.png', '149', '170', '216', '111']

['09-0540_mask.png', '149', '170', '216', '111']

['09-0541_mask.png', '150', '173', '221', '112']

['09-0542_mask.png', '150', '173', '221', '109']

['09-0543_mask.png', '148', '175', '221', '109']

['09-0544_mask.png', '148', '175', '221', '109']

['09-0545_mask.png', '148', '175', '221', '109']

